key,cz
onomastics_word_library,书籍
onomastics_word_library_subname,词库应用器
onomastics_word_library_info,将当前词组的结果作为词库id获取随机词
onomastics_word_library_info_2,符为钥，书为海，随机捞起淹没的字符残章。
onomastics_clone_last_subname,词组复制器
onomastics_clone_last_info,复制当前词组
onomastics_mirror_subname,词组翻转器
onomastics_mirror_info,翻转当前词组
onomastics_repeater_subname,字形复制器
onomastics_repeater_info,复制上一字形的结果
onomastics_domino_subname,词组传承器
onomastics_domino_info,若单位没有姓氏则将当前词组的结果作为姓氏传承\n否则将单位姓氏覆盖当前词组的结果
onomastics_consonant_separator_subname,左侧切片器
onomastics_consonant_separator_info,去除当前词组的结果的左侧第一个字符
onomastics_vowel_separator_subname,右侧切片器
onomastics_vowel_separator_info,去除当前词组的结果的右侧第一个字符
onomastics_vowel_duplicator_subname,城名引用器
onomastics_vowel_duplicator_info,使用命名者的城名
onomastics_consonant_duplicator_subname,国名引用器
onomastics_consonant_duplicator_info,使用命名者的国家名
onomastics_vowel_replacer_subname,姓氏引用器
onomastics_vowel_replacer_info,使用命名者的姓氏
onomastics_wild_6_info,从1~6号构建字形中随机选取一个字形
onomastics_consonant_replacer_subname,首位切片器
onomastics_consonant_replacer_info,使用该词组的第一个字符
onomastics_vowel_requirer_subname,末尾切片器
onomastics_vowel_requirer_info,使用该词组的最后一个字符
onomastics_space,空格
